"Notice publication number","Publication date",Title,"Official name","Type of procedure","The contract is awarded within a framework agreement","Identifier of the contract",Title,"Lot technical ID","Number of tenders or requests to participate received","Contractor awarded","Value of the tender","Value of the lowest admissible tender","Value of the highest admissible tender",Currency
664044-2025,"09/10/2025 (UTC+02)","Belgium – Security, fire-fighting, police and defence equipment – Framework Contract (5 lots) for the supply of medical facilities, vehicles and individual equipment for partner armed forces supported by the European Peace Facility","European Commission, FPI - Service for Foreign Policy Instruments",Open,,"LOT 1 EPF/2025/60 EQUIPOS MOVILES",,LOT-0001,,"EQUIPOS MOVILES DE CAMPANA ARPA SA",," "," ",
664044-2025,"09/10/2025 (UTC+02)","Belgium – Security, fire-fighting, police and defence equipment – Framework Contract (5 lots) for the supply of medical facilities, vehicles and individual equipment for partner armed forces supported by the European Peace Facility","European Commission, FPI - Service for Foreign Policy Instruments",Open,,"LOT 1 EPF/2025/60 ONEMED SVERIGE",,LOT-0001,,"ONEMED SVERIGE AB",," "," ",
664044-2025,"09/10/2025 (UTC+02)","Belgium – Security, fire-fighting, police and defence equipment – Framework Contract (5 lots) for the supply of medical facilities, vehicles and individual equipment for partner armed forces supported by the European Peace Facility","European Commission, FPI - Service for Foreign Policy Instruments",Open,,"LOT 3 - EPF/2025/61 - EDA",,LOT-0003,,"ECONOMAT DES ARMEES",," "," ",
664044-2025,"09/10/2025 (UTC+02)","Belgium – Security, fire-fighting, police and defence equipment – Framework Contract (5 lots) for the supply of medical facilities, vehicles and individual equipment for partner armed forces supported by the European Peace Facility","European Commission, FPI - Service for Foreign Policy Instruments",Open,,"LOT 3 - EPF/2025/61 - SEYNTEX",,LOT-0003,,"SEYNTEX NV",," "," ",
664044-2025,"09/10/2025 (UTC+02)","Belgium – Security, fire-fighting, police and defence equipment – Framework Contract (5 lots) for the supply of medical facilities, vehicles and individual equipment for partner armed forces supported by the European Peace Facility","European Commission, FPI - Service for Foreign Policy Instruments",Open,,"LOT 3 - EPF/2025/61 - MARCK ET BALSAN",,LOT-0003,,"MARCK ET BALSAN",," "," ",
664044-2025,"09/10/2025 (UTC+02)","Belgium – Security, fire-fighting, police and defence equipment – Framework Contract (5 lots) for the supply of medical facilities, vehicles and individual equipment for partner armed forces supported by the European Peace Facility","European Commission, FPI - Service for Foreign Policy Instruments",Open,,"LOT 4 - EPF/2025/59 - EDA",,LOT-0004,,"ECONOMAT DES ARMEES",," "," ",
664044-2025,"09/10/2025 (UTC+02)","Belgium – Security, fire-fighting, police and defence equipment – Framework Contract (5 lots) for the supply of medical facilities, vehicles and individual equipment for partner armed forces supported by the European Peace Facility","European Commission, FPI - Service for Foreign Policy Instruments",Open,,"LOT 4 - EPF/2025/59 - NFM POLAND",,LOT-0004,,"NFM POLAND SPOLKA Z ORGANICZONA ODPWIEDZIALNOSCIA",," "," ",
664044-2025,"09/10/2025 (UTC+02)","Belgium – Security, fire-fighting, police and defence equipment – Framework Contract (5 lots) for the supply of medical facilities, vehicles and individual equipment for partner armed forces supported by the European Peace Facility","European Commission, FPI - Service for Foreign Policy Instruments",Open,,"LOT 4 - EPF/2025/59 - STIMPEX SA",,LOT-0004,,"STIMPEX SA",," "," ",
664044-2025,"09/10/2025 (UTC+02)","Belgium – Security, fire-fighting, police and defence equipment – Framework Contract (5 lots) for the supply of medical facilities, vehicles and individual equipment for partner armed forces supported by the European Peace Facility","European Commission, FPI - Service for Foreign Policy Instruments",Open,,"LOT 4 - EPF/2025/59 - SEYNTEX",,LOT-0004,,"SEYNTEX NV",," "," ",
664044-2025,"09/10/2025 (UTC+02)","Belgium – Security, fire-fighting, police and defence equipment – Framework Contract (5 lots) for the supply of medical facilities, vehicles and individual equipment for partner armed forces supported by the European Peace Facility","European Commission, FPI - Service for Foreign Policy Instruments",Open,,"LOT 4 - EPF/2025/59 - MARCK ET BALSAN",,LOT-0004,,"MARCK ET BALSAN",," "," ",
664044-2025,"09/10/2025 (UTC+02)","Belgium – Security, fire-fighting, police and defence equipment – Framework Contract (5 lots) for the supply of medical facilities, vehicles and individual equipment for partner armed forces supported by the European Peace Facility","European Commission, FPI - Service for Foreign Policy Instruments",Open,,"LOT 5 - EPF/2025/62 - EDA",,LOT-0005,,"ECONOMAT DES ARMEES",," "," ",
664044-2025,"09/10/2025 (UTC+02)","Belgium – Security, fire-fighting, police and defence equipment – Framework Contract (5 lots) for the supply of medical facilities, vehicles and individual equipment for partner armed forces supported by the European Peace Facility","European Commission, FPI - Service for Foreign Policy Instruments",Open,,"LOT 5 - EPF/2025/62 - THEON",,LOT-0005,,"THEON SENSORS SINGLE MEMBER COMMERCIAL AND INDUSTRIAL Société Anonyme",," "," ",
664044-2025,"09/10/2025 (UTC+02)","Belgium – Security, fire-fighting, police and defence equipment – Framework Contract (5 lots) for the supply of medical facilities, vehicles and individual equipment for partner armed forces supported by the European Peace Facility","European Commission, FPI - Service for Foreign Policy Instruments",Open,,"LOT 5 - EPF/2025/62 - OPTICOELECTRON",,LOT-0005,,"OPTICOELECTRON GROUP JSCo.",," "," ",
664044-2025,"09/10/2025 (UTC+02)","Belgium – Security, fire-fighting, police and defence equipment – Framework Contract (5 lots) for the supply of medical facilities, vehicles and individual equipment for partner armed forces supported by the European Peace Facility","European Commission, FPI - Service for Foreign Policy Instruments",Open,,"LOT 5 - EPF/2025/62 - DMEXS GROUP",,LOT-0005,,"DMEXS GROUP",," "," ",
664044-2025,"09/10/2025 (UTC+02)","Belgium – Security, fire-fighting, police and defence equipment – Framework Contract (5 lots) for the supply of medical facilities, vehicles and individual equipment for partner armed forces supported by the European Peace Facility","European Commission, FPI - Service for Foreign Policy Instruments",Open,,"LOT 5 - EPF/2025/62 - ACTINBLACK",,LOT-0005,,"ACTINBLACK EUROPE SARL",," "," ",
664044-2025,"09/10/2025 (UTC+02)","Belgium – Security, fire-fighting, police and defence equipment – Framework Contract (5 lots) for the supply of medical facilities, vehicles and individual equipment for partner armed forces supported by the European Peace Facility","European Commission, FPI - Service for Foreign Policy Instruments",Open,,,,LOT-0002,,"Not Awarded",," "," ",
664216-2025,"09/10/2025 (UTC+02)","Bosnia and Herzegovina – Electrical machinery, apparatus, equipment and consumables; lighting – Supply of equipment and consumablesfor for DNA testing","European Commission, ENEST - Enlargement and Eastern Neighbourhood",Open,,2025/487-141,,LOT-0001,,"ADAY GRUP INSAAT TAAHHUT TURIZM HAYVANCILIK VE TARIM DANISMANLIGI TIC. LTD. STI.","126 000,00",,,EUR
665017-2025,"10/10/2025 (UTC+02)","Germany – Supply services of personnel including temporary staff – Bereitstellung von Zeitarbeitskräfte für das JRC Karlsruhe","Europäische Kommission, Gemeinsame Forschungsstelle (JRC)",Open,,,,LOT-0001,,"Not Awarded",," "," ",
665298-2025,"10/10/2025 (UTC+02)","Tajikistan – 4-wheel-drive vehicles – Supplies to support energy sector in the Republic of Tajikistan","European Union, represented by the European Commission on behalf of and for the account of Tajikistan",Open,,487123,,LOT-0001,,"LLC Nuri Bakht","124 000,00",,,EUR
669042-2025,"13/10/2025 (UTC+02)","North Macedonia – Motor vehicles – Supply of special purpose vehicles and equipment for the State Transport Inspectorate","European Union, represented by the European Commission on behalf of and for the account of North Macedonia",Open,,"IPAIII 2025/487-385",,LOT-0002,,"AVTO ENGINEERING HOLDING GROUP OOD","488 698,00",,,EUR
673289-2025,"14/10/2025 (UTC+02)","Timor-Leste – Development consultancy services – Strengthening Public Finance Management in Timor Leste","European Commission, INTPA - International Partnerships",Restricted,,"NDICI ASIA/2025/483-386",,LOT-0001,,"DAI GLOBAL BELGIUM","2 774 900,00",,,EUR
674819-2025,"14/10/2025 (UTC+02)","Burundi – Marketing management consultancy services – Communication stratégique UE Burundi - Renforcer l’image et la perception de l’Union européenne au Burundi","European Union, represented by the European Commission on behalf of and for the account of Burundi","Negotiated without prior call for competition",,PC-52892,,LOT-0001,,"PARTICIP GMBH","1 521 600,00",,,EUR
676333-2025,"15/10/2025 (UTC+02)","North Macedonia – IT services: consulting, software development, Internet and support – Strengthening the capacity of the National Bank to deal with external statistics, and the payment system and statistics","European Union, represented by the European Commission on behalf of and for the account of North Macedonia",Restricted,,"IPA III-ENEST/2025/483815",,LOT-0001,,"TRADE COMPANY FOR PRODUCTION, SERVICES AND TRADE ASEE DOOEL SKOPJE---ASSECO SEE DOO BEOGRAD","1 195 000,00",,,EUR
676817-2025,"15/10/2025 (UTC+02)","Türkiye – Development consultancy services – Technical Assistance to Monitor the Performance of EU Support to Refugees in Türkiye","European Commission, ENEST.C - Neighbourhood East & Türkiye",Restricted,,"IPA III 2024 / 461-735",,LOT-0001,,"GOPA WORLDWIDE CONSULTANTS GMBH---GOPA Danismanlik Limited Sirketi---INTEGRATION INTERNATIONAL MANAGEMENT CONSULTANTS GMBH---IPCEU ULUSLARARASI DANISMANLIGI ANONIM SIRKETI","6 981 000,00",,,EUR
681932-2025,"16/10/2025 (UTC+02)","Chad, Belgium – Security services – Services de sécurité pour la délégation de l’Union européenne au Tchad et le bureau au Tchad de la Direction Générale de la Commission Européenne de la Protection Civile et Opérations d’Aide Humanitaire Européennes (ECHO)","European External Action Service (EEAS), Commission européenne, DG ECHO - European Civil Protection and Humanitarian Aid Operations (ECHO)","Negotiated with prior publication of a call for competition / competitive with negotiation",,"EEAS/DELTCDN/2024/CPN/0176-2025",,LOT-0001,,"KGS (KARDA GLOBAL SECURITY)---PLATINUM AVIATION SERVICES AB",," "," ",
682682-2025,"16/10/2025 (UTC+02)","Belgium, France, Latvia, Sweden, Greece, Italy, Ireland, Luxembourg, Slovakia, Netherlands, Hungary, Austria, Slovenia, Spain – Public relations services – Media relations and outreach activities","European Commission, DG COMM - Communication, EP - European Parliament, European External Action Service (EEAS), OMBUDSMAN - European Ombudsman, The General Secretariat of the Council of the European Union, Agence Exécutive du Conseil Européen de la Recherche, European Climate, Infrastructure and Environment Executive Agency (CINEA), European Education and Culture Executive Agency (EACEA), European Innovation Council and SMEs Executive Agency (EISMEA), Agency for Support for BEREC (BEREC Office), Chips Joint Undertaking, Clean Hydrogen Joint Undertaking, Europe's Rail Joint Undertaking, European Centre for Disease Prevention and Control, European Centre for the Development of Vocational Training, European Food Safety Authority, European Foundation for the Improvement of Living and Working Conditions, European Investment Bank, European Labour Authority (ELA), European Medicines Agency, European Public Prosecutor’s Office, European Securities and Markets Authority, European Training Foundation (ETF), European Union Agency For Law Enforcement Training, European Union Agency for Criminal Justice Cooperation (Eurojust), European Union Agency for Cybersecurity (ENISA), European Union Agency for Fundamental Rights, European Union Agency for Law Enforcement Cooperation, European Union Agency for the Cooperation of Energy Regulators, European Union Intellectual Property Office, F4E - Fusion for Energy Joint Undertaking, Innovative Health Initiative Joint Undertaking (IHI JU), Committee of the Regions of the European Union, European Economic and Social Committee",Open,,EC-COMM/2025/OP/0051,,LOT-0001,,"ICF NEXT S.A.",," "," ",
